schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,wheel,schedule_type,trial
0.39999999999999997,120,0.10723860589812333,0.0016537910000806733,0.8916666666666667,0.8960025300442758,0.03784629133154602,mod30,random_matched,7
0.44999999999999996,135,0.12064343163538874,0.0016258680000191816,0.9037037037037037,0.9072942244048254,0.04710555059080537,mod30,random_matched,7
0.49999999999999994,149,0.13315460232350312,0.001634884000168313,0.8993288590604027,0.9056325395035073,0.0631556219299351,mod30,random_matched,7
0.5499999999999999,164,0.14655942806076855,0.0016006599998945603,0.9024390243902439,0.9068204161227417,0.057008653196451625,mod30,random_matched,7
0.6,179,0.15996425379803395,0.001599404999979015,0.9106145251396648,0.9149732620320856,0.07127273453452554,mod30,random_matched,7
0.65,194,0.17336907953529937,0.0016411899998729496,0.9020618556701031,0.9060126522132601,0.06482223634872819,mod30,random_matched,7
0.7,209,0.1867739052725648,0.0016736820000460284,0.9043062200956937,0.9079271232884197,0.06886702498385863,mod30,random_matched,7
0.75,224,0.20017873100983022,0.0017342430001008324,0.8973214285714286,0.8988744413682977,0.07546597727562876,mod30,random_matched,7
0.7999999999999999,239,0.21358355674709562,0.001627267000003485,0.8828451882845189,0.8846941761779339,0.09511630602637594,mod30,random_matched,7
0.85,254,0.22698838248436104,0.0017810879999160534,0.8858267716535433,0.8885130475559968,0.10457171405853091,mod30,random_matched,7
0.9,269,0.24039320822162646,0.0017617900000459485,0.8884758364312267,0.8923113139214833,0.07579789442910725,mod30,random_matched,7
0.95,284,0.2537980339588919,0.0018194180001955829,0.8802816901408451,0.883367860152788,0.054512957998212735,mod30,random_matched,7
1.0,298,0.26630920464700625,0.001764879999882396,0.87248322147651,0.8758753029354647,0.05880730038205259,mod30,random_matched,7
0.05,15,0.013404825737265416,0.0016956580000169197,1.0,1.0,0.4164432529043789,mod30,random_matched,8
0.1,30,0.02680965147453083,0.0015863059998082463,0.9333333333333333,0.95,0.34977658623771224,mod30,random_matched,8
0.15,45,0.040214477211796246,0.0015520439999363589,0.9555555555555556,0.9666666666666667,0.2831099195710456,mod30,random_matched,8
0.2,60,0.05361930294906166,0.0014807420000124694,0.95,0.9578373015873016,0.34906166219839146,mod30,random_matched,8
0.25,75,0.06702412868632708,0.0015896899999461311,0.9066666666666666,0.8879540598290598,0.28239499553172476,mod30,random_matched,8
0.3,90,0.08042895442359249,0.0014963639998768485,0.9111111111111111,0.8835678210678211,0.30461721775394696,mod30,random_matched,8
0.35,105,0.0938337801608579,0.0015314690001559939,0.9142857142857143,0.8895706477228217,0.2823949955317248,mod30,random_matched,8
0.39999999999999997,120,0.10723860589812333,0.001572216000113258,0.9,0.8873584494773519,0.21572832886505813,mod30,random_matched,8
0.44999999999999996,135,0.12064343163538874,0.001593776999925467,0.8962962962962963,0.8889184098065677,0.19350610664283582,mod30,random_matched,8
