label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,schedule_fraction,fraction_of_all_queries
mod210_random_progress_1.0_06,mod210,random_progress,6,1119,256,0.2287756925826631,0.0009233150001364265,0.8515625,0.851062091503268,0.06386840929401255,1.0,0.2287756925826631
mod210_random_progress_1.0_07,mod210,random_progress,7,1119,256,0.2287756925826631,0.0008915450000586134,0.88671875,0.8761525393669551,0.10531166219839144,1.0,0.2287756925826631
mod210_random_progress_1.0_08,mod210,random_progress,8,1119,256,0.2287756925826631,0.0008414030000949424,0.890625,0.8810897435897436,0.1227937890974084,1.0,0.2287756925826631
mod210_random_progress_1.0_09,mod210,random_progress,9,1119,256,0.2287756925826631,0.0009991440001613228,0.88671875,0.8854475354475355,0.0616621983914209,1.0,0.2287756925826631
mod2310_progress_0.1,mod2310,deterministic_progress,-1,1119,24,0.021447721179624665,0.0007217699999273464,0.9166666666666666,0.9166666666666666,0.14499553172475424,0.1,0.021447721179624665
mod2310_random_progress_0.1_00,mod2310,random_progress,0,1119,24,0.021447721179624665,0.0008169340001131786,0.9583333333333334,0.9166666666666666,0.362153708668454,0.1,0.021447721179624665
mod2310_random_progress_0.1_01,mod2310,random_progress,1,1119,24,0.021447721179624665,0.001104702000020552,0.875,0.8785714285714286,0.30093833780160856,0.1,0.021447721179624665
mod2310_random_progress_0.1_02,mod2310,random_progress,2,1119,24,0.021447721179624665,0.0006090599999879487,0.75,0.7083333333333334,0.36595174262734587,0.1,0.021447721179624665
mod2310_random_progress_0.1_03,mod2310,random_progress,3,1119,24,0.021447721179624665,0.0006338959999538929,1.0,1.0,0.13427167113494187,0.1,0.021447721179624665
mod2310_random_progress_0.1_04,mod2310,random_progress,4,1119,24,0.021447721179624665,0.0006116929998825071,0.9166666666666666,0.9356060606060607,0.3947721179624665,0.1,0.021447721179624665
mod2310_random_progress_0.1_05,mod2310,random_progress,5,1119,24,0.021447721179624665,0.000533765999989555,0.9166666666666666,0.90625,0.362153708668454,0.1,0.021447721179624665
mod2310_random_progress_0.1_06,mod2310,random_progress,6,1119,24,0.021447721179624665,0.0005899479999698087,0.8333333333333334,0.8348214285714286,0.19906166219839144,0.1,0.021447721179624665
mod2310_random_progress_0.1_07,mod2310,random_progress,7,1119,24,0.021447721179624665,0.0006103020000409742,0.9166666666666666,0.9444444444444444,0.36572832886505807,0.1,0.021447721179624665
mod2310_random_progress_0.1_08,mod2310,random_progress,8,1119,24,0.021447721179624665,0.0005795629999738594,0.875,0.886904761904762,0.18856121537086692,0.1,0.021447721179624665
mod2310_random_progress_0.1_09,mod2310,random_progress,9,1119,24,0.021447721179624665,0.0005660859999352397,0.875,0.8958333333333334,0.19906166219839144,0.1,0.021447721179624665
mod2310_progress_0.2,mod2310,deterministic_progress,-1,1119,47,0.0420017873100983,0.0005533969999760302,0.8936170212765957,0.908974358974359,0.27729926035784236,0.2,0.0420017873100983
mod2310_random_progress_0.2_00,mod2310,random_progress,0,1119,47,0.0420017873100983,0.0005374530001063249,0.7872340425531915,0.8391025641025641,0.3533169813473277,0.2,0.0420017873100983
mod2310_random_progress_0.2_01,mod2310,random_progress,1,1119,47,0.0420017873100983,0.000607476000141105,0.8936170212765957,0.8990384615384616,0.1831042153898808,0.2,0.0420017873100983
mod2310_random_progress_0.2_02,mod2310,random_progress,2,1119,47,0.0420017873100983,0.0006227599999419908,0.9787234042553191,0.9722222222222222,0.08727397182134505,0.2,0.0420017873100983
mod2310_random_progress_0.2_03,mod2310,random_progress,3,1119,47,0.0420017873100983,0.0006439519997911702,0.8936170212765957,0.8964285714285714,0.09636263381058319,0.2,0.0420017873100983
mod2310_random_progress_0.2_04,mod2310,random_progress,4,1119,47,0.0420017873100983,0.0005733909999889875,0.8936170212765957,0.8747086247086248,0.09799783241115739,0.2,0.0420017873100983
mod2310_random_progress_0.2_05,mod2310,random_progress,5,1119,47,0.0420017873100983,0.0009123659999659139,0.9361702127659575,0.9408143939393939,0.2424276995037362,0.2,0.0420017873100983
mod2310_random_progress_0.2_06,mod2310,random_progress,6,1119,47,0.0420017873100983,0.0006051449997812597,0.851063829787234,0.8306277056277056,0.09442321221455324,0.2,0.0420017873100983
mod2310_random_progress_0.2_07,mod2310,random_progress,7,1119,47,0.0420017873100983,0.001347098999985974,0.9148936170212766,0.913961038961039,0.12549198562546343,0.2,0.0420017873100983
mod2310_random_progress_0.2_08,mod2310,random_progress,8,1119,47,0.0420017873100983,0.0006267709998155624,0.8723404255319149,0.890625,0.24600231970034037,0.2,0.0420017873100983
mod2310_random_progress_0.2_09,mod2310,random_progress,9,1119,47,0.0420017873100983,0.001726100999803748,0.9787234042553191,0.9807692307692308,0.08293879413610178,0.2,0.0420017873100983
mod2310_progress_0.3,mod2310,deterministic_progress,-1,1119,70,0.06255585344057193,0.0006970500000988977,0.9,0.9007814992025518,0.21833269500829824,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_00,mod2310,random_progress,0,1119,70,0.06255585344057193,0.001408246999972107,0.8714285714285714,0.8748120300751879,0.06334737648410568,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_01,mod2310,random_progress,1,1119,70,0.06255585344057193,0.0013157599998976366,0.8428571428571429,0.8356884057971015,0.16690923018000767,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_02,mod2310,random_progress,2,1119,70,0.06255585344057193,0.0018378709999069542,0.8714285714285714,0.8727678571428571,0.14548704200178728,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_03,mod2310,random_progress,3,1119,70,0.06255585344057193,0.000643528000182414,0.8857142857142857,0.8837908769973988,0.12809906804544877,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_04,mod2310,random_progress,4,1119,70,0.06255585344057193,0.0007774129999233992,0.9142857142857143,0.9158549783549784,0.2026298991446444,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_05,mod2310,random_progress,5,1119,70,0.06255585344057193,0.000763525000138543,0.9142857142857143,0.9106060606060606,0.1861866462402655,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_06,mod2310,random_progress,6,1119,70,0.06255585344057193,0.0007321360001242283,0.8714285714285714,0.8393610013175231,0.22405208732286483,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_07,mod2310,random_progress,7,1119,70,0.06255585344057193,0.0016160960001343483,0.8571428571428571,0.854599297592971,0.2545129579982127,0.30000000000000004,0.06255585344057193
